P000000011,Sensor,1,0,00:00:01,,,,
P000000010,Sensor,1,0,00:00:01,,,,
P000000009,Sensor,1,0,00:00:01,,,,
P000000008,Sensor,1,0,00:00:01,,,,
P000000007,Sensor,1,0,00:00:01,,,,
P000000006,Sensor,1,0,00:00:01,,,,
P000000005,Sensor,1,0,00:00:01,,,,
P000000004,Sensor,1,0,00:00:01,,,,
P000000003,Sensor,1,0,00:00:01,,,,
P000000002,Sensor,1,0,00:00:01,,,,
P000000001,Sensor,1,0,00:00:01,,,,
P000000011,Sensor,1,0,00:00:01,,,,
P000000010,Sensor,1,0,00:00:01,,,,
P000000009,Sensor,1,0,00:00:01,,,,
P000000008,Sensor,1,0,00:00:01,,,,
P000000007,Sensor,1,0,00:00:01,,,,
P000000006,Sensor,1,0,00:00:01,,,,
P000000005,Sensor,1,0,00:00:01,,,,
P000000004,Sensor,1,0,00:00:01,,,,
P000000003,Sensor,1,0,00:00:01,,,,
P000000002,Sensor,1,0,00:00:01,,,,
P000000001,Sensor,1,0,00:00:01,,,,
